"Te";"over";"cOver";"m";"M"
5;0.05747126436781609;0.031055900621118012;7;87
5;0.0847457627118644;0.03759398496240601;7;59
4;0.09302325581395349;0.034482758620689655;8;41
3;0.031578947368421054;0.01764705882352941;6;94
12;0.23076923076923078;0.10434782608695652;18;48
39;0.65;0.40625;45;56
17;0.32075471698113206;0.14782608695652175;19;53
7;0.05982905982905983;0.03684210526315789;8;118
1;0.017241379310344827;0.0072992700729927005;2;59
10;0.22727272727272727;0.09009009009009009;14;42
50;0.3424657534246575;0.2976190476190476;59;139
0;0.0;0;1;118
10;0.38461538461538464;0.10869565217391304;15;23
34;0.35789473684210527;0.2764227642276423;53;78
16;0.25396825396825395;0.128;19;62
5;0.15151515151515152;0.05154639175257732;17;23
20;0.20202020202020202;0.13071895424836602;27;94
16;0.11347517730496454;0.07920792079207921;20;139
49;0.532608695652174;0.4188034188034188;56;87
2;0.2222222222222222;0.022988505747126436;3;10
7;0.7777777777777778;0.08536585365853659;8;10
36;0.4444444444444444;0.2975206611570248;41;78
35;0.5072463768115942;0.35;50;56
33;0.2796610169491525;0.2357142857142857;59;94
31;0.22302158273381295;0.1657754010695187;33;139
33;0.4520547945205479;0.3142857142857143;49;59
6;0.05128205128205128;0.031413612565445025;7;118
25;0.36764705882352944;0.24271844660194175;46;49
7;0.13725490196078433;0.05737704918032787;10;50
27;0.4153846153846154;0.26732673267326734;45;49
51;0.4112903225806452;0.3493150684931507;59;118
2;0.25;0.023529411764705882;4;8
24;0.32;0.1951219512195122;33;68
11;0.4583333333333333;0.12087912087912088;14;23
27;0.43548387096774194;0.25;35;56
39;0.5492957746478874;0.38235294117647056;50;62
26;0.33766233766233766;0.23008849557522124;45;60
18;0.3829787234042553;0.16981132075471697;22;45
13;0.14285714285714285;0.08496732026143791;19;87
13;0.2708333333333333;0.11711711711711711;18;45
1;0.05;0.010526315789473684;6;17
57;0.5089285714285714;0.4634146341463415;70;101
8;0.23529411764705882;0.08163265306122448;17;27
61;0.4621212121212121;0.5126050420168067;94;101
25;0.5319148936170213;0.25252525252525254;29;45
18;0.1267605633802817;0.09;23;139
21;0.1794871794871795;0.11931818181818182;22;118
32;0.5;0.3106796116504854;42;56
15;0.28846153846153844;0.13157894736842105;19;50
26;0.5652173913043478;0.2653061224489796;29;45
34;0.4927536231884058;0.32075471698113206;44;61
7;0.1;0.04929577464788732;9;70
3;0.04477611940298507;0.020833333333333332;4;68
50;0.3875968992248062;0.4065040650406504;87;94
43;0.28104575163398693;0.24571428571428572;59;139
6;0.2608695652173913;0.06666666666666667;14;17
2;1.0;0.025;3;3
28;0.35443037974683544;0.23529411764705882;41;68
32;0.3404255319148936;0.22695035460992907;34;94
27;0.5869565217391305;0.2903225806451613;34;41
22;0.2619047619047619;0.18803418803418803;48;60
53;0.452991452991453;0.44166666666666665;78;94
2;0.022988505747126436;0.012195121951219513;4;87
2;0.5;0.024691358024691357;4;4
28;0.56;0.2857142857142857;33;47
10;0.1;0.058823529411764705;11;101
29;0.5;0.29896907216494845;42;47
0;0.0;0;1;118
37;0.46835443037974683;0.3557692307692308;56;62
24;0.43636363636363634;0.2222222222222222;28;53
29;0.3020833333333333;0.21481481481481482;42;85
29;0.3258426966292135;0.2116788321167883;33;87
16;0.13445378151260504;0.08839779005524862;19;118
46;0.44660194174757284;0.34328358208955223;50;101
19;0.2159090909090909;0.15966386554621848;50;59
38;0.4578313253012048;0.31932773109243695;45;78
6;0.8571428571428571;0.07407407407407407;7;8
4;0.03389830508474576;0.02072538860103627;6;118
47;0.46534653465346537;0.373015873015873;56;94
38;0.38;0.2814814814814815;46;94
20;0.4;0.1834862385321101;22;50
46;0.575;0.46;61;67
5;0.07936507936507936;0.03676470588235294;8;62
0;0.0;0;3;4
24;0.6486486486486487;0.2696629213483146;29;34
3;0.42857142857142855;0.03571428571428571;4;8
4;0.3076923076923077;0.045454545454545456;6;13
13;0.22413793103448276;0.104;14;59
11;0.10576923076923077;0.06790123456790123;23;94
18;0.5;0.18556701030927836;20;36
14;0.6086956521739131;0.1590909090909091;16;23
27;0.3103448275862069;0.19424460431654678;29;87
